country,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
美国,0.6276597404011348,0.6253114529717663,0.6231131500571113,0.6203049698598534,0.6170261429161897,0.6125553123321457,0.6069461250751839,0.6022311460920781,0.5980125204598393,0.5956890507919528
中国,0.554419238682343,0.5506562150648101,0.5486769206683016,0.54782113393163,0.5490200378172431,0.5508980446689692,0.5525108295414127,0.5530748400430563,0.5514528542175461,0.550376798730176
英国,0.08126299728058761,0.08017695625938717,0.08005632150581145,0.08082911175076633,0.0822095108574853,0.08390278675536567,0.0863460786589874,0.0898180327225101,0.09474213199623606,0.10136423096072762
德国,0.09895561531933088,0.10036300080729176,0.10436067335961759,0.10825321854606855,0.11304367506347361,0.11695917772853569,0.11907512017199998,0.11961123294136566,0.12222041029786608,0.12936656565090462
韩国,0.09483561339443132,0.09849797391586829,0.10395159106778373,0.11121735324696225,0.12007872086040693,0.1293859741918056,0.13947666993213578,0.14986073093348082,0.16043504350667773,0.17119370405767834
日本,0.08067992634986093,0.08004726396081861,0.08052353887134488,0.08145967118326836,0.08318592585976033,0.08476183998656395,0.0872629766886526,0.09066742068455977,0.09538009390445129,0.10172249751495425
法国,0.09076161990142802,0.09020873575305943,0.09041669732618761,0.09179919548646591,0.09475580800843834,0.09906533158080508,0.10651687894256084,0.11839188638358937,0.1361000486171704,0.16038228905623383
加拿大,0.07616834079106431,0.07566742043640885,0.0775082110295532,0.07958538009979665,0.0831655234990235,0.08897715444992815,0.09643169967734955,0.10526990658736524,0.11217669708868615,0.11084145657152998
阿联酋,0.17661659081786904,0.17551414425514983,0.1736349872905567,0.17250082273763692,0.1717928244479077,0.17134877122226636,0.1717146064002096,0.1734395356787445,0.1767850680186877,0.17991735509627665
印度,0.23918873745107821,0.2407369764446091,0.24261342854778087,0.244048738512601,0.24579135438260008,0.24753664446941379,0.24951985666232562,0.2517863367720972,0.25480580608003667,0.25886299170105176
